,predict,grouth_True,class_id
0,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
1,Đc: 212 Đường Trấn Phú-Cẩm Phả Nhau,ĐC: 212 Đường Trần Phú - Cẩm Phả,ADDRESS
2,Thời gian:16:16:02 - 14/08/2020,Thời gian: 15:16:02 - 14/08/2020,TIMESTAMP
3,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
4,246.000,246.000đ,TOTAL_COST
5,MINIMARTANAN,MINIMART ANAN,SELLER
6,Chợ Sủi Phú Thị Gia Làm,Chợ Sủi Phú Thị Gia Lam,ADDRESS
7,Ngày: 16/08/2020-07:56,Ngày : 16/08/2020 07 58,TIMESTAMP
8,Tổng cộng:,Tổng cộng:,TOTAL_COST
9,"155,000","155,000",TOTAL_COST
10,WWWW.UNIQLO.COM,WWW.UNIQLO.COM,SELLER
11,UNIQLO,UNIQLO,SELLER
12,Vincom Phạm Ngọc Thạch,Vincom Phạm Ngọc Thạch,ADDRESS
13,"2, Đượng Phạm Ngọc Thạch","2, Đường Phạm Ngọc Thạch",ADDRESS
14,Phường Trung Trong Quân Đồng Đa,"Phường Trung Tự, Quận Đống Đa",ADDRESS
15,Thành phố hà nội,Thành phố Hà Nội,ADDRESS
16,Ngày 1,Ngày,TIMESTAMP
17,Giờ,Giờ,TIMESTAMP
18,01/08/2020 20:13,01/08/2020 20:13,TIMESTAMP
19,Tổng cộng,Tổng cộng,TOTAL_COST
20,"2,442,000","2,442,000",TOTAL_COST
21,Vincommerce,VinCommerce,SELLER
22,VM% QNH Dư án quỹ đất đường sắt,VM+QNH Dư án quỹ đất đường sắt,ADDRESS
23,DA QĐ dọc tuyên ĐS Tổ 3 Khu 2,DA QĐ doc tuyến ĐS Tổ 3 Khu 2,ADDRESS
24,"P. Cầm Sơn, TP. Cảm Phà, T. QN","P. Cẩm Sơn, TP. Cẩm Phả, T.QN",ADDRESS
25,Ngày bán: 14/08/2020 17:23,Ngày bán: 14/08/2020 17:23,TIMESTAMP
26,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
27,81.302,81.302,TOTAL_COST
28,Vincommerce,VinCommerce,SELLER
29,"VM% QNH Tố 7, Khu Minh Tiến A","VM+ QNH Tổ 7, khu Minh Tiến A",ADDRESS
30,"Tổ 7, Khu Minh Tiến Ả","Tổ 7, Khu Minh Tiến A",ADDRESS
31,"P. Cầm Bình TP. Cảm Pha, QNH","P. Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
32,Ngày bán: 14/08/2020 16:22,Ngày bán: 14/08/2020 16:22,TIMESTAMP
33,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
34,52.700,52.700,TOTAL_COST
35,MINIMART ANAN,MINIMART ANANAN,SELLER
36,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
37,Ngày: 09/08/2020-17:23,Ngày: 09/08/2020 - 17:23,TIMESTAMP
38,Tổng cộng::,Tổng cộng cộng,TOTAL_COST
39,"107,000","107,000",TOTAL_COST
40,Vincommerce,VinCommerce,SELLER
41,VM% GNH 690 Trần Phú,VM + QNH 590 Trần Phú,ADDRESS
42,"Sỏ 590 Trần Phú, P. Cẩm Thủy",Số 590 Trần Phú.P.Cẩm Thuy,ADDRESS
43,"TP. Cẩm Phà, Quảng Ninh","TP.Cẩm Phả, Quảng Ninh",ADDRESS
44,Ngày:15/08/2020,Ngày : 15/08/2020,TIMESTAMP
45,- Thời gian:10:41,Thời gian: 10:41,TIMESTAMP
46,minimart anan,MINIMART ANAN,SELLER
47,Chợ Sùi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
48,Tổng tiến:,Tổng tiền,TOTAL_COST
49,"99,000","99,000",TOTAL_COST
50,IN MINIMART ANANIA,MINIMART ANAN,SELLER
51,Chợ Sủi Phú Thị Gia Lâm Thị,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
52,Ngày: 09/08/2020-07:53,Ngày: 09/08/2020-07:53,TIMESTAMP
53,Tổng tiền 1,Tổng tiền,TOTAL_COST
54,"345,000","345,000",TOTAL_COST
55,MINIMART ANAN,MINIMART ANAN,SELLER
56,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
57,Ngày: 16/08/2020-17:21,Ngày: 16/08/2020 - 17:21,TIMESTAMP
58,"211,500","211,500",TOTAL_COST
59,Tổng cộng,Tổng cộng,TOTAL_COST
